NFT,Floor Price,24h(%),Market Cap,24h Volume,Owners,24h Owners,Total Assets,Owner Ratio
Meebits,2.93,-7.5,58600.0,11006.79,5750.0,0.0,20000.0,28.749999999999996
dotdotdots,0.194,-10.7,944.78,5342.72,2654.0,0.2,4870.0,54.496919917864474
Azuki,14.0,-8.2,140000.0,809.84,5407.0,0.1,10000.0,54.06999999999999
Bored Ape Yacht Club,93.0,-10.1,930000.0,708.88,6312.0,-0.0,10000.0,63.12
CloneX,13.45555,-15.0,254027.33,704.94,8308.0,0.2,18879.0,44.006568144499184
Mutant Ape Yacht Club,17.99,-10.9,323118.39,700.41,11761.0,0.1,17961.0,65.48076387728969
Metroverse,2.19,48.2,21900.0,542.05,440.0,-8.5,10000.0,4.3999999999999995
LAND,3.6,-10.0,540259.2,452.0,19758.0,0.2,150072.0,13.165680473372781
Cool Pets,2.1,-12.4,39026.4,375.02,10567.0,-0.2,18584.0,56.86074042186827
Decentral Games ICE Poker,1.9,-10.4,27612.7,347.6,3358.0,0.0,14533.0,23.106034542076653
CryptoPunks,67.95,-9.5,679432.05,343.13,3391.0,0.0,9999.0,33.913391339133916
Doodles,13.3,-6.0,133000.0,267.42,6041.0,0.4,10000.0,60.41
Cool Cats,9.4,-20.1,93370.2,213.13,5158.0,0.1,9933.0,51.927917044196114
OnChainMonkey,1.7878,-4.3,16984.1,151.45,3000.0,0.0,9500.0,31.57894736842105
World of Women,9.9,-6.2,99000.0,131.83,5073.0,0.1,10000.0,50.73
FLUF World,4.2,-16.0,42000.0,106.48,3577.0,0.1,10000.0,35.77
CyberKongz,9.4,-5.3,47000.0,90.31,2441.0,0.1,5000.0,48.82
Phanta Bear,1.4,0.6,14000.0,83.49,5349.0,-0.4,10000.0,53.49
Zipcy's SuperNormal,0.85,-13.5,7554.8,81.27,4827.0,-0.3,8888.0,54.309180918091805
Boss Beauties,1.94,-10.0,19400.0,69.17,5444.0,0.0,10000.0,54.44
PUNKS Comic,0.18,-8.4,4176.72,52.82,8286.0,0.4,23204.0,35.70936045509395
MetaHero,4.9,-3.5,31649.1,51.94,299.0,-0.7,6459.0,4.629199566496362
Chain Runners,1.025,-1.1,10250.0,47.48,3290.0,0.4,10000.0,32.9
Crypto Coven,1.45,-25.6,14147.65,43.81,4759.0,0.1,9757.0,48.775238290458134
LilHeroes,0.51,-11.4,3965.76,43.52,3942.0,-0.4,7776.0,50.69444444444444
Lazy Lions,1.81,0.4,18244.8,43.29,5045.0,-0.0,10080.0,50.04960317460318
Capsule House,1.33,-25.2,13300.0,41.9,3770.0,-0.2,10000.0,37.7
Sneaky Vampire Syndicate,1.35,-9.1,11998.8,41.53,1372.0,0.2,8888.0,15.436543654365437
MekaVerse,1.0479,2.2,9313.74,39.41,5036.0,0.1,8888.0,56.66066606660666
DuskBreakers,0.28,21.2,2800.0,35.86,2900.0,-0.8,10000.0,28.999999999999996
VeeFriends,14.2,-4.8,145621.0,35.0,5213.0,-0.0,10255.0,50.833739639200395
Adam Bomb Squad,0.7,-13.9,17499.3,32.36,8668.0,0.1,24999.0,34.67338693547742
Lives of Asuna,0.26,-19.6,2600.0,31.44,6122.0,-0.3,10000.0,61.22
Smilesss,1.4,-11.6,12226.2,29.89,4520.0,-0.1,8733.0,51.75770067559831
Creature World,1.15,-10.7,11500.0,29.3,6216.0,0.2,10000.0,62.160000000000004
FVCK_CRYSTAL//,2.39,-7.4,9963.91,29.11,2097.0,0.1,4169.0,50.299832094027344
Crypto Unicorns,1.67,-16.3,16700.0,28.99,519.0,0.0,10000.0,5.19
Parallel,0.02,-8.5,8.42,28.92,32794.0,0.2,421.0,7789.548693586698
Neo Tokyo: Identities,14.49,-9.0,29284.29,28.5,56.0,-3.4,2021.0,2.770905492330529
JRNY NFT Club,3.9,-15.4,39000.0,27.85,6899.0,0.0,10000.0,68.99
BYOPills,1.21,-10.0,12100.0,27.82,3335.0,-0.1,10000.0,33.35
OCM Dessert,0.44,-50.9,1.32,27.08,2846.0,-0.4,3.0,94866.66666666666
CrypToadz,2.65,-9.0,18616.25,25.38,3878.0,0.1,7025.0,55.202846975088974
BYO Land,0.765,-10.7,7692.84,23.39,2873.0,0.0,10056.0,28.570007955449483
The Doge Pound,1.45,-15.4,14500.0,23.11,5642.0,0.0,10000.0,56.42
the littles nft,0.58,-13.0,5800.0,22.26,5595.0,0.1,10000.0,55.95
GenesisApostle,0.99,-3.9,7162.65,21.3,2472.0,0.0,7235.0,34.167242570836216
0N1 Force,0.58,-9.4,4510.66,20.67,4298.0,0.2,7777.0,55.26552655265527
inbetweeners,0.54,-0.0,5819.58,18.97,5741.0,-0.1,10777.0,53.27085459775448
The Currency,3.9,-10.5,8615.1,18.24,1728.0,0.1,2209.0,78.22544137618831
PudgyPenguins,1.169,-12.6,10390.07,16.49,4400.0,0.0,8888.0,49.504950495049506
Forgotten Runes Wizards Cult,2.88,-5.7,27095.04,16.04,2747.0,0.0,9408.0,29.19855442176871
Curious Addys' Trading Club,0.387,-7.4,1935.0,14.69,2155.0,-0.0,5000.0,43.1
MoonCats - Acclimated,0.55,-7.8,10403.25,10.86,5581.0,0.2,18915.0,29.50568332011631
merge,0.183,-4.2,4935.88,10.48,9259.0,0.1,26972.0,34.32819219931781
Jenkins the Valet: The Writer's Room,1.25,-29.7,8677.5,9.88,2865.0,0.2,6942.0,41.2705272255834
Treeverse Plots,1.34,-7.8,13962.8,9.5,3769.0,0.0,10420.0,36.170825335892516
Lost Poets,0.239,4.9,6617.67,8.25,8453.0,0.3,27689.0,30.52836866625736
Loot,2.0,-16.2,15558.0,7.85,2541.0,-0.1,7779.0,32.66486694947937
X Rabbits Club,0.194,-6.6,1455.39,7.76,3405.0,0.0,7502.0,45.38789656091709
Hashmasks,0.73,-3.8,11950.1,6.23,5142.0,0.0,16370.0,31.41111789859499
Blitmap,6.0,-8.5,10200.0,6.0,604.0,-0.2,1700.0,35.529411764705884
Timeless,0.6,-18.3,5652.6,5.79,3112.0,0.0,9421.0,33.03258677422779
Samurai Saga,0.18,-16.9,1799.82,5.7,1714.0,-0.8,9999.0,17.141714171417142
iNFT Personality Pod,0.235,-7.7,2305.59,5.6,1894.0,0.0,9811.0,19.304861889715625
Global Citizen Club,0.08,-7.6,711.04,4.72,4084.0,-0.2,8888.0,45.94959495949595
loomlock NFT,0.92,-0.4,8782.32,4.68,2511.0,0.2,9546.0,26.30421118793212
8SIAN,0.14,10.3,1244.32,4.52,4510.0,-0.2,8888.0,50.742574257425744
Tom Sachs Rocket Components,1.88,-2.7,3504.32,4.4,564.0,0.0,1864.0,30.257510729613735
EtherLambos,0.92,-8.8,1472.0,3.8,755.0,0.0,1600.0,47.1875
Feudalz,0.199,1.2,884.36,3.77,347.0,0.3,4444.0,7.808280828082808
CHIBI DINOS,0.13,-11.2,1300.0,3.47,3280.0,0.1,10000.0,32.800000000000004
Wizards & Dragons Game,0.024,-21.0,1108.06,3.32,3415.0,0.5,46169.0,7.396738071000021
IreneDAO,0.69,-9.1,763.14,3.27,499.0,-0.2,1106.0,45.11754068716094
Anonymice,1.62,-8.9,16200.0,3.05,353.0,0.9,10000.0,3.53
Avastars,0.12,-21.0,3054.96,2.98,4987.0,0.5,25458.0,19.589127189881374
Citizens of Bulliever Island,0.159,-14.1,1590.0,2.97,2294.0,0.4,10000.0,22.939999999999998
Divine Anarchy,0.185,-12.3,1852.04,2.62,5084.0,-0.2,10011.0,50.78413744880631
Animetas,0.219,-8.6,2212.12,2.41,4176.0,0.3,10101.0,41.34244134244135
SpacePunksClub,0.1,-7.8,999.5,1.93,4431.0,0.1,9995.0,44.33216608304152
Space Poggers,0.03,53.0,373.26,1.84,3484.0,0.6,12442.0,28.00192895032953
Galaxy Eggs,0.195,-10.1,1949.81,1.76,4952.0,0.2,9999.0,49.52495249524952
Fortune,2.75,-3.4,11.0,1.75,213.0,0.0,4.0,5325.0
